model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
TinyMLP h5 (lambda12),17,3001,0.05,0.5687221041631866,21,4500,1500,1500,0.42533333333333334,0.2569204152249135,0.99,0.40796703296703296,0.6342264739333833,297,859,3,341,0.9290322580645162,0.5210652250974832,0.4391311813186813
TinyMLP h5 (mu12),17,3001,0.05,0.48684885424745994,21,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.20146714372418753,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
Schmidt-QPP QNN L2,17,1001,0.08,0.5373572475497486,25,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
TinyMLP h5 (lambda12),17,1001,0.08,0.5687221041631866,21,4500,1500,1500,0.282,0.2178649237472767,1.0,0.35778175313059035,0.3806705824192923,300,1077,0,123,0.9290322580645162,0.5712505049339258,0.3851123037169549
TinyMLP h5 (mu12),17,1001,0.08,0.48684885424745994,21,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
Schmidt-QPP QNN L2,17,2003,0.08,0.5373572475497486,25,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
TinyMLP h5 (lambda12),17,2003,0.08,0.5687221041631866,21,4500,1500,1500,0.29133333333333333,0.21969140337986776,0.9966666666666667,0.3600240818783865,0.3925212895486084,299,1062,1,138,0.9290322580645162,0.5690081761861296,0.3875259214663188
TinyMLP h5 (mu12),17,2003,0.08,0.48684885424745994,21,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
Schmidt-QPP QNN L2,17,3001,0.08,0.5373572475497486,25,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
TinyMLP h5 (lambda12),17,3001,0.08,0.5687221041631866,21,4500,1500,1500,0.29933333333333334,0.22205773501110287,1.0,0.3634161114476075,0.429103028534963,300,1051,0,149,0.9290322580645162,0.5656161466169087,0.39117706440541083
TinyMLP h5 (mu12),17,3001,0.08,0.48684885424745994,21,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
Schmidt-QPP QNN L2,17,1001,0.1,0.5373572475497486,25,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
