model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
Schmidt-QPP QNN L2,53,1001,0.05,0.49739777738176355,25,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.19611922126960987,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
TinyMLP h5 (lambda12),53,1001,0.05,0.5731570837741349,21,4500,1500,1500,0.4093333333333333,0.25253378378378377,0.9966666666666667,0.4029649595687332,0.5742349083932059,299,885,1,315,0.9260450160771705,0.5230800565084373,0.43514618897873614
TinyMLP h5 (mu12),53,1001,0.05,0.45711167644633555,21,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.1961192212696099,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
Schmidt-QPP QNN L2,53,2003,0.05,0.49739777738176355,25,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.19745986146352626,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
TinyMLP h5 (lambda12),53,2003,0.05,0.5731570837741349,21,4500,1500,1500,0.412,0.2529711375212224,0.9933333333333333,0.40324763193504737,0.558482534196224,298,880,2,320,0.9260450160771705,0.5227973841421232,0.43545143587430457
TinyMLP h5 (mu12),53,2003,0.05,0.45711167644633555,21,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.19745986146352626,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
Schmidt-QPP QNN L2,53,3001,0.05,0.49739777738176355,25,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.2014671437241875,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
TinyMLP h5 (lambda12),53,3001,0.05,0.5731570837741349,21,4500,1500,1500,0.408,0.2512690355329949,0.99,0.40080971659919024,0.6318438097124089,297,885,3,315,0.9260450160771705,0.5252352994779803,0.43281882591093107
TinyMLP h5 (mu12),53,3001,0.05,0.45711167644633555,21,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.2014671437241875,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
Schmidt-QPP QNN L2,53,1001,0.08,0.49739777738176355,25,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
TinyMLP h5 (lambda12),53,1001,0.08,0.5731570837741349,21,4500,1500,1500,0.2693333333333333,0.2148997134670487,1.0,0.35377358490566035,0.3780000721257644,300,1096,0,104,0.9260450160771705,0.5722714311715101,0.3820263364779874
TinyMLP h5 (mu12),53,1001,0.08,0.45711167644633555,21,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
Schmidt-QPP QNN L2,53,2003,0.08,0.49739777738176355,25,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
TinyMLP h5 (lambda12),53,2003,0.08,0.5731570837741349,21,4500,1500,1500,0.2793333333333333,0.21682378535170413,0.9966666666666667,0.3561643835616438,0.39086711823245657,299,1080,1,120,0.9260450160771705,0.5698806325155267,0.38460806697108063
TinyMLP h5 (mu12),53,2003,0.08,0.45711167644633555,21,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
Schmidt-QPP QNN L2,53,3001,0.08,0.49739777738176355,25,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
TinyMLP h5 (lambda12),53,3001,0.08,0.5731570837741349,21,4500,1500,1500,0.28933333333333333,0.21961932650073207,1.0,0.36014405762304924,0.42624661122696444,300,1066,0,134,0.9260450160771705,0.5659009584541213,0.3889055622248899
TinyMLP h5 (mu12),53,3001,0.08,0.45711167644633555,21,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
Schmidt-QPP QNN L2,53,1001,0.1,0.49739777738176355,25,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
TinyMLP h5 (lambda12),53,1001,0.1,0.5731570837741349,21,4500,1500,1500,0.23266666666666666,0.20594333102971665,0.9933333333333333,0.3411562678878077,0.3358513055409659,298,1149,2,51,0.9260450160771705,0.5848887481893628,0.36840138650384785
TinyMLP h5 (mu12),53,1001,0.1,0.45711167644633555,21,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
Schmidt-QPP QNN L2,53,2003,0.1,0.49739777738176355,25,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
TinyMLP h5 (lambda12),53,2003,0.1,0.5731570837741349,21,4500,1500,1500,0.23266666666666666,0.2067539627842867,1.0,0.34266133637921187,0.34243705453991835,300,1151,0,49,0.9260450160771705,0.5833836796979586,0.3700266514372739
TinyMLP h5 (mu12),53,2003,0.1,0.45711167644633555,21,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
Schmidt-QPP QNN L2,53,3001,0.1,0.49739777738176355,25,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
TinyMLP h5 (lambda12),53,3001,0.1,0.5731570837741349,21,4500,1500,1500,0.24,0.20833333333333334,1.0,0.3448275862068966,0.33453385809498937,300,1140,0,60,0.9260450160771705,0.5812174298702739,0.37236590038314177
TinyMLP h5 (mu12),53,3001,0.1,0.45711167644633555,21,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
Schmidt-QPP QNN L2,53,1001,0.15,0.49739777738176355,25,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
TinyMLP h5 (lambda12),53,1001,0.15,0.5731570837741349,21,4500,1500,1500,0.20533333333333334,0.20107238605898123,1.0,0.3348214285714286,0.23876773982305202,300,1192,0,8,0.9260450160771705,0.5912235875057419,0.3615606398809524
TinyMLP h5 (mu12),53,1001,0.15,0.45711167644633555,21,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
Schmidt-QPP QNN L2,53,2003,0.15,0.49739777738176355,25,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
TinyMLP h5 (lambda12),53,2003,0.15,0.5731570837741349,21,4500,1500,1500,0.20333333333333334,0.20066889632107024,1.0,0.3342618384401114,0.2115194107643541,300,1195,0,5,0.9260450160771705,0.591783177637059,0.3609563602599814
TinyMLP h5 (mu12),53,2003,0.15,0.45711167644633555,21,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
Schmidt-QPP QNN L2,53,3001,0.15,0.49739777738176355,25,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092182,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
TinyMLP h5 (lambda12),53,3001,0.15,0.5731570837741349,21,4500,1500,1500,0.202,0.20040080160320642,1.0,0.333889816360601,0.23309674234559058,300,1197,0,3,0.9260450160771705,0.5921551997165695,0.3605546280838434
TinyMLP h5 (mu12),53,3001,0.15,0.45711167644633555,21,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092176,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
Schmidt-QPP QNN L2,67,clean,0.0,0.5539221874020205,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),67,clean,0.0,0.46780037111489353,21,4500,1500,1500,0.9653333333333334,0.8757575757575757,0.9633333333333334,0.9174603174603174,0.9606633276313581,289,41,11,1159,0.9174603174603174,0.0,1.0
TinyMLP h5 (mu12),67,clean,0.0,0.49863011652184247,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,67,1001,0.01,0.5539221874020205,25,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
TinyMLP h5 (lambda12),67,1001,0.01,0.46780037111489353,21,4500,1500,1500,0.7473333333333333,0.44095665171898357,0.9833333333333333,0.608875128998968,0.879043152988234,295,374,5,826,0.9174603174603174,0.3085851884613494,0.6636528222653112
TinyMLP h5 (mu12),67,1001,0.01,0.49863011652184247,21,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
Schmidt-QPP QNN L2,67,2003,0.01,0.5539221874020205,25,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043943,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
TinyMLP h5 (lambda12),67,2003,0.01,0.46780037111489353,21,4500,1500,1500,0.7246666666666667,0.418705035971223,0.97,0.5849246231155779,0.868335264675732,291,404,9,796,0.9174603174603174,0.3325356943447395,0.6375475995896438
TinyMLP h5 (mu12),67,2003,0.01,0.49863011652184247,21,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043942,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
Schmidt-QPP QNN L2,67,3001,0.01,0.5539221874020205,25,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.328699765404565,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
TinyMLP h5 (lambda12),67,3001,0.01,0.46780037111489353,21,4500,1500,1500,0.7346666666666667,0.4279411764705882,0.97,0.5938775510204082,0.8862856633443051,291,389,9,811,0.9174603174603174,0.32358276643990924,0.6473059812160159
TinyMLP h5 (mu12),67,3001,0.01,0.49863011652184247,21,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.328699765404565,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
Schmidt-QPP QNN L2,67,1001,0.02,0.5539221874020205,25,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23936888541682577,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
TinyMLP h5 (lambda12),67,1001,0.02,0.46780037111489353,21,4500,1500,1500,0.5706666666666667,0.3142548596112311,0.97,0.47471451876019577,0.7943879671126121,291,635,9,565,0.9174603174603174,0.44274579870012165,0.5174223993406978
TinyMLP h5 (mu12),67,1001,0.02,0.49863011652184247,21,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23936888541682577,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
Schmidt-QPP QNN L2,67,2003,0.02,0.5539221874020205,25,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
TinyMLP h5 (lambda12),67,2003,0.02,0.46780037111489353,21,4500,1500,1500,0.5673333333333334,0.3137673425827108,0.98,0.4753435731608731,0.810278956674834,294,643,6,557,0.9174603174603174,0.4421167442994443,0.5181080468708479
TinyMLP h5 (mu12),67,2003,0.02,0.49863011652184247,21,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
Schmidt-QPP QNN L2,67,3001,0.02,0.5539221874020205,25,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.23629425969878504,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
TinyMLP h5 (lambda12),67,3001,0.02,0.46780037111489353,21,4500,1500,1500,0.5666666666666667,0.31382978723404253,0.9833333333333333,0.47580645161290314,0.833896106428875,295,645,5,555,0.9174603174603174,0.4416538658474143,0.5186125683670052
TinyMLP h5 (mu12),67,3001,0.02,0.49863011652184247,21,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.2362942596987851,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
Schmidt-QPP QNN L2,67,1001,0.03,0.5539221874020205,25,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.2125237185169394,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
TinyMLP h5 (lambda12),67,1001,0.03,0.46780037111489353,21,4500,1500,1500,0.45066666666666666,0.26481149012567323,0.9833333333333333,0.41725601131541723,0.7376626255151837,295,819,5,381,0.9174603174603174,0.5002043061449002,0.45479461440953783
TinyMLP h5 (mu12),67,1001,0.03,0.49863011652184247,21,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.2125237185169394,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
Schmidt-QPP QNN L2,67,2003,0.03,0.5539221874020205,25,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.21228281169118107,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
TinyMLP h5 (lambda12),67,2003,0.03,0.46780037111489353,21,4500,1500,1500,0.4493333333333333,0.26559714795008915,0.9933333333333333,0.419127988748242,0.8024175352260143,298,824,2,376,0.9174603174603174,0.49833232871207545,0.4568350050370112
TinyMLP h5 (mu12),67,2003,0.03,0.49863011652184247,21,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.21228281169118107,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
Schmidt-QPP QNN L2,67,3001,0.03,0.5539221874020205,25,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
TinyMLP h5 (lambda12),67,3001,0.03,0.46780037111489353,21,4500,1500,1500,0.448,0.26512455516014233,0.9933333333333333,0.41853932584269665,0.7634500906630296,298,826,2,374,0.9174603174603174,0.49892099161762077,0.4561933828389254
TinyMLP h5 (mu12),67,3001,0.03,0.49863011652184247,21,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
Schmidt-QPP QNN L2,67,1001,0.05,0.5539221874020205,25,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.19611922126960987,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
TinyMLP h5 (lambda12),67,1001,0.05,0.46780037111489353,21,4500,1500,1500,0.31066666666666665,0.22488755622188905,1.0,0.3671970624235006,0.6364329537077033,300,1034,0,166,0.9174603174603174,0.5502632550368168,0.40023209226090894
TinyMLP h5 (mu12),67,1001,0.05,0.49863011652184247,21,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.19611922126960987,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
Schmidt-QPP QNN L2,67,2003,0.05,0.5539221874020205,25,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.19745986146352623,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
TinyMLP h5 (lambda12),67,2003,0.05,0.46780037111489353,21,4500,1500,1500,0.326,0.22841864018334607,0.9966666666666667,0.3716594157862026,0.6129779000373874,299,1010,1,190,0.9174603174603174,0.5458009016741148,0.4050959030195634
TinyMLP h5 (mu12),67,2003,0.05,0.49863011652184247,21,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.19745986146352623,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
Schmidt-QPP QNN L2,67,3001,0.05,0.5539221874020205,25,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.2014671437241875,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
TinyMLP h5 (lambda12),67,3001,0.05,0.46780037111489353,21,4500,1500,1500,0.326,0.22841864018334607,0.9966666666666667,0.3716594157862026,0.6881624939614801,299,1010,1,190,0.9174603174603174,0.5458009016741148,0.4050959030195634
TinyMLP h5 (mu12),67,3001,0.05,0.49863011652184247,21,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.2014671437241875,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
Schmidt-QPP QNN L2,67,1001,0.08,0.5539221874020205,25,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
TinyMLP h5 (lambda12),67,1001,0.08,0.46780037111489353,21,4500,1500,1500,0.23333333333333334,0.20689655172413793,1.0,0.34285714285714286,0.42813125484912534,300,1150,0,50,0.9174603174603174,0.5746031746031746,0.3737024221453287
TinyMLP h5 (mu12),67,1001,0.08,0.49863011652184247,21,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
Schmidt-QPP QNN L2,67,2003,0.08,0.5539221874020205,25,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.2056352884635909,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
TinyMLP h5 (lambda12),67,2003,0.08,0.46780037111489353,21,4500,1500,1500,0.244,0.20920502092050208,1.0,0.3460207612456747,0.44283248880784365,300,1134,0,66,0.9174603174603174,0.5714395562146427,0.3771506567210641
TinyMLP h5 (mu12),67,2003,0.08,0.49863011652184247,21,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
Schmidt-QPP QNN L2,67,3001,0.08,0.5539221874020205,25,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
TinyMLP h5 (lambda12),67,3001,0.08,0.46780037111489353,21,4500,1500,1500,0.246,0.20964360587002095,1.0,0.34662045060658575,0.48228332099726995,300,1131,0,69,0.9174603174603174,0.5708398668537317,0.37780429737396026
TinyMLP h5 (mu12),67,3001,0.08,0.49863011652184247,21,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
Schmidt-QPP QNN L2,67,1001,0.1,0.5539221874020205,25,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
TinyMLP h5 (lambda12),67,1001,0.1,0.46780037111489353,21,4500,1500,1500,0.218,0.20326308633582596,0.9966666666666667,0.33766233766233766,0.38484823998599216,299,1172,1,28,0.9174603174603174,0.5797979797979798,0.36804026423403585
TinyMLP h5 (mu12),67,1001,0.1,0.49863011652184247,21,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
Schmidt-QPP QNN L2,67,2003,0.1,0.5539221874020205,25,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
TinyMLP h5 (lambda12),67,2003,0.1,0.46780037111489353,21,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.39974031080974537,300,1174,0,26,0.9174603174603174,0.5792416026914335,0.36864669602836825
TinyMLP h5 (mu12),67,2003,0.1,0.49863011652184247,21,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.20832507214193294,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
Schmidt-QPP QNN L2,67,3001,0.1,0.5539221874020205,25,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
TinyMLP h5 (lambda12),67,3001,0.1,0.46780037111489353,21,4500,1500,1500,0.22,0.20408163265306123,1.0,0.3389830508474576,0.3755541015698087,300,1170,0,30,0.9174603174603174,0.5784772666128598,0.36947979590639846
TinyMLP h5 (mu12),67,3001,0.1,0.49863011652184247,21,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
Schmidt-QPP QNN L2,67,1001,0.15,0.5539221874020205,25,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
TinyMLP h5 (lambda12),67,1001,0.15,0.46780037111489353,21,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.2683592541819387,300,1199,0,1,0.9174603174603174,0.5839416960039527,0.3635237569507089
TinyMLP h5 (mu12),67,1001,0.15,0.49863011652184247,21,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
Schmidt-QPP QNN L2,67,2003,0.15,0.5539221874020205,25,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
TinyMLP h5 (lambda12),67,2003,0.15,0.46780037111489353,21,4500,1500,1500,0.202,0.20040080160320642,1.0,0.333889816360601,0.23411352788989861,300,1197,0,3,0.9174603174603174,0.5835705010997164,0.3639283465522122
TinyMLP h5 (mu12),67,2003,0.15,0.49863011652184247,21,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
Schmidt-QPP QNN L2,67,3001,0.15,0.5539221874020205,25,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092182,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
TinyMLP h5 (lambda12),67,3001,0.15,0.46780037111489353,21,4500,1500,1500,0.20133333333333334,0.20026702269692923,1.0,0.3337041156840934,0.25828892463648495,300,1198,0,2,0.9174603174603174,0.583756201776224,0.3637259392404479
TinyMLP h5 (mu12),67,3001,0.15,0.49863011652184247,21,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092182,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
