model,saltpepper_probability,n_raw_evaluations,n_training_seeds,n_noise_seeds_per_training_seed,trainable_parameters,precision_mean,precision_std,precision_raw_std,precision_within_noise_std_mean,recall_mean,recall_std,recall_raw_std,recall_within_noise_std_mean,f1_mean,f1_std,f1_raw_std,f1_within_noise_std_mean,pr_auc_mean,pr_auc_std,pr_auc_raw_std,pr_auc_within_noise_std_mean,f1_drop_mean,f1_drop_std,f1_drop_raw_std,f1_drop_within_noise_std_mean,f1_retention_mean,f1_retention_std,f1_retention_raw_std,f1_retention_within_noise_std_mean
TinyMLP h5 (lambda12),0.03,15,5,3,21,0.3215529667609918,0.03197026629651299,0.029916529655009936,0.0046737261241764595,0.9873333333333333,0.0014907119849997949,0.0036077517952144474,0.0038213672050459364,0.48434965676586217,0.037403528706929756,0.03501062026112352,0.005629774388849728,0.7374776117945216,0.033534404031519,0.045703740854451017,0.03935161629785698,0.4415171979635046,0.03263378901945726,0.030649740324460748,0.005629774388849728,0.5229746362599119,0.03794645912977272,0.03556820134756858,0.006069036518500362
TinyMLP h5 (mu12),0.03,15,5,3,21,0.23038945988068443,3.1031676915590914e-17,0.000981961938381692,0.0011618730342866479,0.9788888888888888,0.0,0.001626500121580872,0.0019245008972987331,0.37299179306938807,0.0,0.0014020981043448095,0.0016589848498073246,0.2125171884058686,0.0,0.00019538347049361906,0.00023118083994782803,0.5008543607767657,0.0,0.001402098104344801,0.0016589848498073149,0.4268391998153209,0.0,0.0016045136757466935,0.0018984861837583733
Schmidt-QPP QNN L2,0.05,15,5,3,25,0.2143436612414542,0.0,0.0008530453383939249,0.001009336856107934,0.9866666666666667,0.0,0.00745355992499933,0.008819171036882005,0.35217475967969114,0.0,0.0009972900199674269,0.0011800094650032612,0.19834874215244125,2.7755575615628914e-17,0.0023516939645996772,0.002782561824001107,0.5216713941664627,0.0,0.0009972900199673904,0.001180009465003218,0.40301689047851974,6.206335383118183e-17,0.001141264987638788,0.0013503629441058533
TinyMLP h5 (lambda12),0.05,15,5,3,21,0.25092921507203897,0.013523922047818937,0.01260618911518796,0.0016483697367017669,0.9948888888888888,0.0021659542988464618,0.0030515847214471086,0.0023849001794597592,0.4006130965196042,0.017371041164137287,0.016201006381382627,0.002208057610062898,0.5854592835982911,0.06265557962918697,0.06579348866466593,0.03653050896494377,0.5252537582097625,0.01258519428755731,0.011814715516578006,0.0022080576100629236,0.4326209264500612,0.01662346887662173,0.015534834254116827,0.0023856035783369985
TinyMLP h5 (mu12),0.05,15,5,3,21,0.2143436612414542,0.0,0.0008530453383939249,0.001009336856107934,0.9866666666666667,0.0,0.00745355992499933,0.008819171036882005,0.35217475967969114,0.0,0.0009972900199674269,0.0011800094650032612,0.19834874215244122,0.0,0.0023516939645996755,0.0027825618240011054,0.5216713941664627,0.0,0.0009972900199673904,0.001180009465003218,0.40301689047851974,6.206335383118183e-17,0.001141264987638788,0.0013503629441058533
Schmidt-QPP QNN L2,0.08,15,5,3,25,0.20472209665631738,0.0,0.0005454031111576762,0.0006453296639119124,0.9922222222222222,0.0,0.0043033148291193495,0.005091750772173153,0.33941368555757045,0.0,0.0009713237497596677,0.0011492857597595362,0.19906588787533183,0.0,0.005712003201188658,0.0067585333319105005,0.5344324682885834,0.0,0.0009713237497596454,0.0011492857597595098,0.388413548613417,0.0,0.0011115500657461078,0.0013152037743727194
TinyMLP h5 (lambda12),0.08,15,5,3,21,0.21689336200147724,0.004779903872054425,0.004789199720067837,0.002137471463389344,0.9995555555555555,0.0006085806194502189,0.0011728859175816494,0.0007698003589194931,0.356418160439505,0.006472747394005302,0.006483012789614594,0.0028893821878790823,0.39652002077143067,0.05312928285404158,0.05314085904634881,0.023160997879496846,0.5694486942898617,0.0019076045308807801,0.0030392941175296138,0.0028893821878790715,0.384935640101321,0.0050441993146184355,0.005378660704200563,0.0031187003928604736
TinyMLP h5 (mu12),0.08,15,5,3,21,0.20472209665631738,0.0,0.0005454031111576762,0.0006453296639119124,0.9922222222222222,0.0,0.0043033148291193495,0.005091750772173153,0.33941368555757045,0.0,0.0009713237497596677,0.0011492857597595362,0.19906588787533183,0.0,0.005712003201188653,0.0067585333319104945,0.5344324682885834,0.0,0.0009713237497596454,0.0011492857597595098,0.388413548613417,0.0,0.0011115500657461078,0.0013152037743727194
Schmidt-QPP QNN L2,0.1,15,5,3,25,0.20330188921831147,0.0,0.000435783248557902,0.0005156256933213757,0.9988888888888889,1.2412670766236366e-16,0.001626500121580872,0.0019245008972987331,0.3378431995616337,0.0,0.000694017951237004,0.0008211731140842909,0.19819060485618448,0.0,0.007718314877634818,0.009132433321434468,0.5360029542845202,0.0,0.0006940179512370148,0.0008211731140843035,0.3866163375265175,0.0,0.0007942106836339003,0.0009397227537936486
TinyMLP h5 (lambda12),0.1,15,5,3,21,0.20729494337614945,0.0021877579767164766,0.002228534123703905,0.0010485774535281245,0.998,0.0004969039949999317,0.003034196632776016,0.0034641016151377704,0.3432807825150413,0.0029782019276136202,0.003102826249735512,0.001610890893728097,0.33526365266241387,0.04943228216554438,0.04613782284841027,0.006050402504099786,0.5825860722143255,0.002153953592239216,0.002449830643931085,0.001610890893728105,0.3707620291909404,0.0014375304328306496,0.002030823259266978,0.0017375363707024486
TinyMLP h5 (mu12),0.1,15,5,3,21,0.20330188921831147,0.0,0.000435783248557902,0.0005156256933213757,0.9988888888888889,1.2412670766236366e-16,0.001626500121580872,0.0019245008972987331,0.3378431995616337,0.0,0.000694017951237004,0.0008211731140842909,0.1981906048561845,3.1031676915590914e-17,0.007718314877634823,0.009132433321434475,0.5360029542845202,0.0,0.0006940179512370148,0.0008211731140843035,0.3866163375265175,0.0,0.0007942106836339003,0.0009397227537936486
Schmidt-QPP QNN L2,0.15,15,5,3,25,0.20089431587382672,3.1031676915590914e-17,0.0005598329710866353,0.000662403304431647,1.0,0.0,0.0,0.0,0.33457417579733395,0.0,0.0007766241147835804,0.0009189140449077551,0.1929372623579225,1.3877787807814457e-17,0.005337630257915957,0.0063155692917034765,0.5392719780488199,0.0,0.0007766241147835646,0.0009189140449077364,0.3828753772328646,0.0,0.0008887423848755779,0.0010515741711092288
TinyMLP h5 (lambda12),0.15,15,5,3,21,0.2007589557254675,0.000291551855282716,0.0003391114173937167,0.00023412273379748994,1.0,0.0,0.0,0.0,0.33438664824147374,0.00040451237827503146,0.00047045210174652326,0.0003247557158970127,0.2274470478245898,0.023584508062980136,0.024867871342159016,0.0135498091136094,0.591480206487893,0.004476095030809459,0.0041538287849752255,0.00032475571589701276,0.3611668524694541,0.0014815718972820953,0.0014056431704394352,0.00035048815290615067
TinyMLP h5 (mu12),0.15,15,5,3,21,0.20089431587382672,3.1031676915590914e-17,0.0005598329710866353,0.000662403304431647,1.0,0.0,0.0,0.0,0.33457417579733395,0.0,0.0007766241147835804,0.0009189140449077551,0.1929372623579225,0.0,0.005337630257915975,0.006315569291703499,0.5392719780488199,0.0,0.0007766241147835646,0.0009189140449077364,0.3828753772328646,0.0,0.0008887423848755779,0.0010515741711092288
