model,gaussian_sigma,n_raw_evaluations,n_training_seeds,n_noise_seeds_per_training_seed,trainable_parameters,precision_mean,precision_std,precision_raw_std,precision_within_noise_std_mean,recall_mean,recall_std,recall_raw_std,recall_within_noise_std_mean,f1_mean,f1_std,f1_raw_std,f1_within_noise_std_mean,pr_auc_mean,pr_auc_std,pr_auc_raw_std,pr_auc_within_noise_std_mean,f1_drop_mean,f1_drop_std,f1_drop_raw_std,f1_drop_within_noise_std_mean,f1_retention_mean,f1_retention_std,f1_retention_raw_std,f1_retention_within_noise_std_mean
TinyMLP h5 (lambda12),0.04,15,5,3,21,0.8641140244064369,0.007210332944739896,0.007671994350532162,0.003759055138448138,0.9715555555555555,0.003296088216486977,0.003533662757928742,0.0018213672050459526,0.9146609715711888,0.00262816612719803,0.003329606922822319,0.0024656144020550547,0.9672303664622712,0.0030829005240293967,0.0030916934473877414,0.0013102523420343312,0.011205883158177943,0.003609559214682886,0.004041462589149218,0.0024656144020550547,0.987910624490986,0.003856196104717879,0.004331776958501831,0.0026619365333444534
TinyMLP h5 (mu12),0.04,15,5,3,21,0.21749049429657794,0.0,0.0006427028553068646,0.0007604562737642678,0.9533333333333335,0.0,0.002817180849095073,0.003333333333333355,0.3541795665634675,0.0,0.0010466306560105543,0.0012383900928792657,0.19340753962230225,0.0,0.006903689804341847,0.008168555936051548,0.5196665872826863,0.0,0.0010466306560105777,0.0012383900928792935,0.4053111237081934,6.206335383118183e-17,0.0011977287436740526,0.0014171717612174728
Schmidt-QPP QNN L2,0.06,15,5,3,25,0.21820316401000425,0.0,0.0008834914514011826,0.0010453611828351746,0.9722222222222221,1.2412670766236366e-16,0.0058644295879083,0.0069388866648871,0.35641336584665134,0.0,0.0015544126285509151,0.0018392058252729604,0.18909296409330223,1.3877787807814457e-17,0.011256852600507433,0.013319287618238872,0.5174327879995025,0.0,0.0015544126285509281,0.0018392058252729756,0.40786740809916083,0.0,0.0017788172685881847,0.002104724976104608
TinyMLP h5 (lambda12),0.06,15,5,3,21,0.7889252149933852,0.07622402735135962,0.07112486069723026,0.010358565231134511,0.9835555555555555,0.002981423969999739,0.0032038336824108567,0.0019245008972987331,0.87370223829435,0.04888765763436493,0.045555225529843396,0.005883551266268414,0.9665170315104747,0.0031585763052056804,0.003828053252469508,0.0028738429423288856,0.05216461643501682,0.044201156916231985,0.041247312006057114,0.005883551266268414,0.9434635769133509,0.04835541047420136,0.045116624060049126,0.00636174104231439
TinyMLP h5 (mu12),0.06,15,5,3,21,0.21820316401000425,0.0,0.0008834914514011826,0.0010453611828351746,0.9722222222222221,1.2412670766236366e-16,0.0058644295879083,0.0069388866648871,0.35641336584665134,0.0,0.0015544126285509151,0.0018392058252729604,0.18909296409330223,0.0,0.011256852600507428,0.013319287618238867,0.5174327879995025,0.0,0.0015544126285509281,0.0018392058252729756,0.40786740809916083,0.0,0.0017788172685881847,0.002104724976104608
Schmidt-QPP QNN L2,0.08,15,5,3,25,0.21739171446595096,0.0,0.0010048735442104392,0.0011889824118950076,0.9833333333333334,0.0,0.004879500364742669,0.005773502691896262,0.35606536530218724,0.0,0.0016262625668966965,0.0019242198188058467,0.17852553675199415,0.0,0.006694547057480803,0.007921094900754239,0.5177807885439666,0.0,0.0016262625668966738,0.00192421981880582,0.4074691680394748,6.206335383118183e-17,0.0018610399093008138,0.0022020121165912173
TinyMLP h5 (lambda12),0.08,15,5,3,21,0.6062941059320108,0.18486173891536495,0.17137976812447736,0.009113655638786753,0.9957777777777779,0.0004969039949999317,0.0015257923607235801,0.0015396007178390375,0.7378628564674107,0.1705627156782788,0.15804177459111016,0.006644815261360992,0.9653031848971707,0.003250235932271711,0.004085512739055278,0.0032587544141272455,0.18800399826195605,0.1658142467711846,0.1536493058548899,0.006644815261360992,0.7961991233197364,0.18135394423667156,0.16804520487271102,0.007178693669818176
TinyMLP h5 (mu12),0.08,15,5,3,21,0.21739171446595096,0.0,0.0010048735442104392,0.0011889824118950076,0.9833333333333334,0.0,0.004879500364742669,0.005773502691896262,0.35606536530218724,0.0,0.0016262625668966965,0.0019242198188058467,0.17852553675199415,0.0,0.006694547057480803,0.007921094900754239,0.5177807885439666,0.0,0.0016262625668966738,0.00192421981880582,0.4074691680394748,6.206335383118183e-17,0.0018610399093008138,0.0022020121165912173
Schmidt-QPP QNN L2,0.1,15,5,3,25,0.21418496625846375,0.0,0.0011043159586179088,0.0013066442633867363,0.9866666666666667,0.0,0.0028171808490950736,0.003333333333333355,0.35196511048339824,0.0,0.001655800103669869,0.001959169103635112,0.18249729997160505,4.616994146336633e-06,0.007912013998499912,0.009361619264044435,0.5218810433627556,0.0,0.0016558001036698254,0.0019591691036350604,0.4027769750250155,6.206335383118183e-17,0.0018948416679320662,0.00224200689676553
TinyMLP h5 (lambda12),0.1,15,5,3,21,0.33665399588214207,0.06430586312605642,0.05995623225142653,0.0075923239973971195,0.9968888888888889,0.0004969039949999317,0.0008606629658238615,0.0003849001794597466,0.5003479022464508,0.0760003761168553,0.07076417156486096,0.008192466653038025,0.9579264348387241,0.003056614332692094,0.004195019979429923,0.003563094467356158,0.42551895248291594,0.07125605775696105,0.06639835133902791,0.00819246665303802,0.540083073508337,0.07979837225821675,0.07432277366583223,0.008832636027451952
TinyMLP h5 (mu12),0.1,15,5,3,21,0.21418496625846375,0.0,0.0011043159586179088,0.0013066442633867363,0.9866666666666667,0.0,0.0028171808490950736,0.003333333333333355,0.35196511048339824,0.0,0.001655800103669869,0.001959169103635112,0.18249936475415762,0.0,0.007913407020072873,0.00936326945737834,0.5218810433627556,0.0,0.0016558001036698254,0.0019591691036350604,0.4027769750250155,6.206335383118183e-17,0.0018948416679320662,0.00224200689676553
Schmidt-QPP QNN L2,0.15,15,5,3,25,0.20631860148945944,0.0,0.0011179045472316867,0.0013227224982625021,0.9944444444444445,0.0,0.0032530002431617982,0.00384900179459753,0.341736429943231,0.0,0.0017215612584411243,0.002036978751286214,0.17869363651017411,0.0,0.002778386179714545,0.0032874308614905196,0.5321097239029228,0.0,0.0017215612584411243,0.002036978751286214,0.3910716187730636,0.0,0.0019700965105400306,0.002331049627352195
TinyMLP h5 (lambda12),0.15,15,5,3,21,0.21266634778914253,0.006742297734212694,0.006330265424974881,0.0011738434622748696,1.0,0.0,0.0,0.0,0.3506995510106008,0.009223963400330007,0.008657765735338966,0.001591392709516575,0.8931034127465267,0.013304043397444709,0.025547903711683542,0.026168119098984987,0.5751673037187659,0.0046307513883949445,0.00451778229980516,0.0015913927095165775,0.37874709556957564,0.008084443471740326,0.007640724523594144,0.0017167318925952629
TinyMLP h5 (mu12),0.15,15,5,3,21,0.20631860148945944,0.0,0.0011179045472316867,0.0013227224982625021,0.9944444444444445,0.0,0.0032530002431617982,0.00384900179459753,0.341736429943231,0.0,0.0017215612584411243,0.002036978751286214,0.17869363651017411,0.0,0.0027783861797145404,0.003287430861490513,0.5321097239029228,0.0,0.0017215612584411243,0.002036978751286214,0.3910716187730636,0.0,0.0019700965105400306,0.002331049627352195
