dataset,frame,harris_points,fast_points,orb_points,qpp_points,qpp_mean_score,qpp_top_score,logistic_points,qpp_2q_points,logistic_mean_score,logistic_top_score,qpp_2q_mean_score,qpp_2q_top_score
KITTI drive 0001,24,35,35,,,,,35,35,0.34399182329628547,0.9865896499341082,0.07999080990460528,0.9868286823141396
KITTI drive 0001,25,35,35,,,,,35,35,0.3408393729624885,0.9875694414367915,0.07811917968526312,0.9870688072198792
KITTI drive 0001,26,35,35,,,,,35,35,0.3435697361253139,0.9860502512710168,0.07870574667926729,0.9861303791327927
KITTI drive 0001,27,35,35,,,,,35,35,0.35354332911023756,0.9875870272179029,0.08308225295223826,0.9865801191673638
KITTI drive 0001,28,35,35,,,,,35,35,0.3620675936566065,0.9861954936460929,0.08804789252397904,0.9864520435375418
KITTI drive 0001,29,35,35,,,,,35,35,0.35953973276547163,0.9863355581017602,0.08451429399279775,0.9859615150915731
KITTI drive 0001,30,35,35,,,,,35,35,0.35455222679112686,0.9846608403034168,0.07977108447291499,0.9861876282768394
KITTI drive 0001,31,35,35,,,,,35,35,0.35558886883196933,0.9864650378092144,0.07885440632116783,0.9862382776184074
KITTI drive 0001,32,35,35,,,,,35,35,0.3499378471456106,0.9864431012704535,0.07722997596221617,0.9868751471152557
KITTI drive 0001,33,35,35,,,,,35,35,0.3443044373282442,0.9848134114640958,0.07645192694758297,0.9870334588623831
KITTI drive 0001,34,35,35,,,,,35,35,0.33156315193958924,0.985880342313439,0.07364907230894087,0.9863817588587471
KITTI drive 0001,35,35,35,,,,,35,35,0.3282802302293412,0.9849516180501948,0.07300695469571954,0.9867385352843504
KITTI drive 0001,36,35,35,,,,,35,35,0.3353640200630619,0.9849637714903369,0.07553221699299009,0.9864333972740617
KITTI drive 0001,37,35,35,,,,,35,35,0.3416571651342379,0.985522454280837,0.07997189935681245,0.9864962239954234
KITTI drive 0001,38,35,35,,,,,35,35,0.34931358169209314,0.9855672485917324,0.08531343730748712,0.9867116027557233
KITTI drive 0001,39,35,35,,,,,35,35,0.3539272227876233,0.9849188263928172,0.08868826767041248,0.9868278641728353
KITTI drive 0001,40,35,35,,,,,35,35,0.35281940902859366,0.9886779070969713,0.09159420557380141,0.9867408812066298
KITTI drive 0001,41,35,35,,,,,35,35,0.35370895036580985,0.9890941156429371,0.09805238497816998,0.986955270528918
KITTI drive 0001,42,35,35,,,,,35,35,0.3596133641611642,0.9887507367478637,0.10718000343321683,0.9868235619080704
KITTI drive 0001,43,35,35,,,,,35,35,0.35767151960995,0.9868436835677502,0.11398245680285699,0.986891652230713
KITTI drive 0001,44,35,35,,,,,35,35,0.3628570419310391,0.988063517285581,0.11551101940875053,0.9870953168021898
KITTI drive 0001,45,35,35,,,,,35,35,0.37063514663216734,0.9882411395569745,0.11201633308879984,0.9868417533747416
KITTI drive 0001,46,35,35,,,,,35,35,0.37424650128579773,0.9857128882745566,0.10377427564568374,0.9873862206367376
